dept_code,n,taux_reel,taux_predit,cible,reseau,erreur_pts
0701,9669,0.7439238804426518,0.76918125,fdsm124,électricité,2.525737108322712
0702,9286,0.7679302175317683,0.7976826,fdsm124,électricité,2.97523658002935
0703,1858,0.8918191603875134,0.77204204,fdsm124,électricité,-11.977712433099486
0704,1802,0.6104328523862376,0.6715219,fdsm124,électricité,6.108904969811302
0801,80851,0.8096374812927484,0.85536987,fdsm124,électricité,4.573238460156926
0802,5616,0.656517094017094,0.7736234,fdsm124,électricité,11.710631286996042
0803,4981,0.2728367797630998,0.5852958,fdsm124,électricité,31.245901663124837
0901,30314,0.7459259747971234,0.7592241,fdsm124,électricité,1.3298142005092162
0902,16616,0.6846413095811267,0.7316284,fdsm124,électricité,4.698710838762333
0903,4098,0.340165934602245,0.65056604,fdsm124,électricité,31.0400106867329
0904,9114,0.6586570111915734,0.7437188,fdsm124,électricité,8.506179173735118
0905,1621,0.47378161628624305,0.6768615,fdsm124,électricité,20.307990829566613
0201,35496,0.3312204192021636,0.42003053,fdsm125,fibre,8.881011506526193
0202,29905,0.5313827119210834,0.45853963,fdsm125,fibre,-7.284307697807502
0203,5208,0.006528417818740399,0.34251052,fdsm125,fibre,33.59821035931553
0204,1583,0.18825015792798483,0.32676265,fdsm125,fibre,13.851248850870645
0205,954,0.009433962264150943,0.22660176,fdsm125,fibre,21.716780229559486
0206,1355,0.01992619926199262,0.35086933,fdsm125,fibre,33.0943128521592
0207,2354,0.10747663551401869,0.25816798,fdsm125,fibre,15.069134658742172
0208,2784,0.00610632183908046,0.35493797,fdsm125,fibre,34.88316487991947
0209,699,0.004291845493562232,0.22309762,fdsm125,fibre,21.880577690099955
0210,1611,0.1446306641837368,0.2900823,fdsm125,fibre,14.545164148604774
0211,646,0.13622291021671826,0.28394443,fdsm125,fibre,14.772151775035328
0301,22493,0.41435113146312186,0.33957666,fdsm125,fibre,-7.477446987636038
0302,9304,0.014509888220120379,0.307294,fdsm125,fibre,29.278412289590744
0401,24241,0.19450517717915927,0.39760157,fdsm125,fibre,20.309639748018824
0402,8846,0.4519556861858467,0.30120853,fdsm125,fibre,-15.07471602897743
0403,3790,0.03245382585751979,0.24893644,fdsm125,fibre,21.648261866343052
0404,2301,0.08387657540199914,0.25126618,fdsm125,fibre,16.73896060669645
0405,4517,0.0338720389639141,0.36653468,fdsm125,fibre,33.26626411641834
0406,2750,0.2923636363636364,0.29319784,fdsm125,fibre,0.08342040885578328
0407,6430,0.01010886469673406,0.35613826,fdsm125,fibre,34.60293944757055
0408,1071,0.0028011204481792717,0.27082223,fdsm125,fibre,26.802110655301092
0409,588,0.008503401360544218,0.29354376,fdsm125,fibre,28.504035464760396
0501,13096,0.3932498472816127,0.40158403,fdsm125,fibre,0.8334181916080152
0502,2875,0.002782608695652174,0.31583768,fdsm125,fibre,31.30550725978354
0503,2412,0.004560530679933665,0.30363345,fdsm125,fibre,29.907292078185833
0504,1316,0.15881458966565348,0.2556702,fdsm125,fibre,9.685560019182942
0505,398,0.002512562814070352,0.33315587,fdsm125,fibre,33.06433076235517
0506,1120,0.19196428571428573,0.26694667,fdsm125,fibre,7.498238767896378
0601,14165,0.2595128838686904,0.39150995,fdsm125,fibre,13.19970662922898
0602,4787,0.10674744098600376,0.2599489,fdsm125,fibre,15.320146829668058
0603,3480,0.013218390804597701,0.2706923,fdsm125,fibre,25.747389807098216
0604,1927,0.04411001556824079,0.35494426,fdsm125,fibre,31.083424336005816
0701,9669,0.3125452476988313,0.36224222,fdsm125,fibre,4.969697413344409
0702,9286,0.06881326728408357,0.2848931,fdsm125,fibre,21.607982820923308
0703,1858,0.004305705059203444,0.42933202,fdsm125,fibre,42.502631283935614
0704,1802,0.009433962264150943,0.2525245,fdsm125,fibre,24.309053286066597
0801,80851,0.4869080159800126,0.49744692,fdsm125,fibre,1.0538908468000707
0802,5616,0.006232193732193732,0.41825026,fdsm125,fibre,41.20180690050804
0803,4981,0.004818309576390283,0.23888187,fdsm125,fibre,23.406356152785012
0901,30313,0.38956883185431995,0.36923745,fdsm125,fibre,-2.0331379108882333
0902,16616,0.275698122291767,0.2886831,fdsm125,fibre,1.2984964341915262
0903,4098,0.001708150317227916,0.2750981,fdsm125,fibre,27.338993508621446
0904,9113,0.008449467793262373,0.3263888,fdsm125,fibre,31.793933831139764
0905,1621,0.008019740900678593,0.31928158,fdsm125,fibre,31.126183716328626
